
 ⛅️ wrangler 4.137.0
────────────────────
Successfully created tail, expires at 2026-09-24T04:40:32Z
Connected to gemini-web2api, waiting for logs...
GET https://api.shigatsuki.eu.org/.env.production.local - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.development.local - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.local - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/config - Ok @ 2026/9/24 06:40:32
GET https://api.shigatsuki.eu.org/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/ - Ok @ 2026/9/24 06:40:32
GET https://api.shigatsuki.eu.org/.env.test.local - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.envrc - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.flaskenv - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/env.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/env.json - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/app/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/src/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/config/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/frontend/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/backend/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/api/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/server/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/client/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.production - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/web/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.development - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/public/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/private/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/var/.env - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/docker-compose.yml - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/docker-compose.yaml - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/docker-compose.dev.yml - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.prod - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/assets/app.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/docker-compose.override.yml - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.dev - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.test - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.staging - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/js/app.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/config.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/docker-compose.prod.yml - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.backup - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.save - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.old - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/config.json - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.bak - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/secrets.json - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/credentials.json - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.tmp - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/settings.json - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/settings.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/cdp_api_key.json - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env~ - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/app.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.example - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.swp - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/main.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.dist - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.sample - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/index.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/server.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/bundle.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/.env.template - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/app.bundle.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/main.bundle.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/vendor.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/chunk.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/static/js/main.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/static/js/app.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/static/js/bundle.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/dist/main.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/dist/app.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/dist/bundle.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/build/static/js/main.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/assets/index.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/settings.py - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/js/main.js - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/config.py - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/config/app.php - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/secrets.py - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/application.properties - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config/secrets.yml - Ok @ 2026/9/24 06:40:33
GET https://api.shigatsuki.eu.org/application.yml - Ok @ 2026/9/24 06:40:34
GET https://api.shigatsuki.eu.org/config/master.key - Ok @ 2026/9/24 06:40:33
